list_name,name,label::English (eng),label::Ukrainian (uk),district,block
microdistrict,holosiiv-2,,Голосіїв-2,holosiivskyi,holosiiv
microdistrict,teremky-1,,Теремки-I,holosiivskyi,teremky
microdistrict,teremky-2,,Теремки-II,holosiivskyi,teremky
microdistrict,poznyaky-1,,Позняки-1,darnytskyi,zakhidni_poznyaky
microdistrict,poznyaky-2,,Позняки-2,darnytskyi,skhidni_poznyaky
microdistrict,osokorky-central,,Осокорки-Центральні,darnytskyi,pivnichni_osokorky
microdistrict,troieshchyna-1,,Троєщина-1,desnianskyi,vyhurivshchyna_troieshchyna
microdistrict,vinogradar-1,,Виноградар-1,podilskyi,vinogradar
microdistrict,vinogradar-2,,Виноградар-2,podilskyi,vinogradar
microdistrict,borchagivka-5,,Борщагівка-5,svyatoshynskyi,pivdenna_borshchahivka
microdistrict,solomyanka-north,,Солом’янка-Північна,solomianskyi,solomyanka
microdistrict,lukianivka-east,,Лук’янівка-Східна,shevchenkivskyi,lukianivka
microdistrict,other,,Інше,,
walking_access,up5,,в межах 5 хв,,
walking_access,10_15,,10–15 хв,,
walking_access,15_20,,15–20 хв,,
walking_access,20_25,,20–25 хв,,
walking_access,over25,,понад 25 хв,,
transport_access,up5,,в межах 5 хв,,
transport_access,10_15,,10–15 хв,,
transport_access,15_20,,15–20 хв,,
transport_access,20_25,,20–25 хв,,
transport_access,over25,,понад 25 хв,,
shelter_type,basement,,підвал,,
shelter_type,metro,,станція метро,,
shelter_type,underpass,,підземний перехід,,
shelter_type,parking,,підземний паркінг,,
shelter_type,school,,шкільне укриття,,
shelter_type,hospital,,медичний заклад,,
shelter_type,other,,інше,,
shelter_category,public,,громадське,,
shelter_category,residential,,житлове,,
shelter_category,private,,приватне підприємство,,
shelter_category,educational,,навчальний заклад,,
shelter_category,transport,,транспортне,,
shelter_category,other,,інше,,
vehicle_access,yes,,Так,,
vehicle_access,no,,Ні,,
reliability,high,,висока,,
reliability,medium,,середня,,
reliability,low,,низька,,
condition,usable,,придатне,,
condition,need_repair,,потребує ремонту,,
condition,unusable,,непридатне,,
condition,other,,інше,,
status,open,,відкрите,,
status,closed,,закрите,,
status,unavailable,,недоступне з інших причин,,
